Name,Team,POS,GP,G,A,PTS,Points per Game
Henrik Sedin,VAN,C,82,29,83,112,1.37
Sidney Crosby,PIT,C,81,51,58,109,1.35
Alex Ovechkin,WAS,LW,72,50,59,109,1.51
Nicklas Backstrom,WAS,C,82,33,68,101,1.23
Steven Stamkos,TB,C,82,51,44,95,1.16
Martin St. Louis,TB,RW,82,29,65,94,1.15
Brad Richards,DAL,C,80,24,67,91,1.14
Joe Thornton,SJ,C,79,20,69,89,1.13
Patrick Kane,CHI,RW,82,30,58,88,1.07
Marian Gaborik,NYR,RW,76,42,44,86,1.13
Ilya Kovalchuk,NJ,LW,76,41,44,85,1.12
Daniel Sedin,VAN,LW,63,29,56,85,1.35
Alexander Semin,WAS,RW,73,40,44,84,1.15
Patrick Marleau,SJ,LW,82,44,39,83,1.01
Zach Parise,NJ,LW,81,38,44,82,1.01
Dany Heatley,SJ,RW,82,39,43,82,1
Anze Kopitar,LA,C,82,34,47,81,0.99
Paul Stastny,COL,C,81,20,59,79,0.98
Evgeni Malkin,PIT,C,67,28,49,77,1.15
Mike Green,WAS,D,75,19,57,76,1.01
Corey Perry,ANH,RW,82,27,49,76,0.93
Ryan Kesler,VAN,C,82,25,50,75,0.91
Daniel Alfredsson,OTT,RW,70,20,51,71,1.01
Mikko Koivu,MIN,C,80,22,49,71,0.89
Loui Eriksson,DAL,RW,82,29,42,71,0.87
Eric Staal,CAR,C,70,29,41,70,1
Vincent Lecavalier,TB,C,82,24,46,70,0.85
Pavel Datsyuk,DET,LW,80,27,43,70,0.88
Henrik Zetterberg,DET,C,74,23,47,70,0.95
Tomas Plekanec,MON,C,82,25,45,70,0.85
Derek Roy,BUF,C,80,26,43,69,0.86
Ryan Getzlaf,ANH,C,66,19,50,69,1.05
Duncan Keith,CHI,D,82,14,55,69,0.84
Jarome Iginla,CGY,RW,82,32,37,69,0.84
Jonathan Toews,CHI,C,76,25,43,68,0.89
Travis Zajac,NJ,C,82,25,42,67,0.82
Rick Nash,CLS,LW,76,33,34,67,0.88
Nik Antropov,ATL,C,76,24,43,67,0.88
Alexandre Burrows,VAN,LW,82,35,32,67,0.82
Patrick Sharp,CHI,RW,82,25,41,66,0.8
Tim Connolly,BUF,C,73,17,48,65,0.89
Wojtek Wolski,PHO,LW,80,23,42,65,0.81
Antoine Vermette,CLS,C,82,27,38,65,0.79
Jussi Jokinen,CAR,LW,81,30,35,65,0.8
Chris Stewart,COL,RW,77,28,36,64,0.83
Bobby Ryan,ANH,LW,81,35,29,64,0.79
Kristian Huselius,CLS,LW,74,23,40,63,0.85
Dustin Penner,EDM,LW,82,32,31,63,0.77
Jason Pominville,BUF,RW,82,24,38,62,0.76
Mike Richards,PHI,C,82,31,31,62,0.76
